"Account Number","Name","Company","Street","City","State","Zip","Email","Birth Date","Favorites","Standard Payment","Payments","Balance"
"01-000667","George P Schell","Market Place Products","334 Hilltop Dr","Mentor","OH","44060-1930","warmst864@aol.com","02/28/1971","XA","101.00","100.00","15.89"
"01-002423","Marc S Brittan","Madson & Huth Communication Co","5653 S Blackstone Avenue, #3E","Chicago","IL","60637-4596","mapper@tcent.net","06/30/1975","BA","144.00","144.00","449.92"
"01-006063","Stephanie A Jernigan","La Salle Clinic","77565 Lorain","Akron","OH","44325-4002","dram@akron.net","11/02/1941","EB|CB","126.00","126.00","262.98"
"01-010474","Ernie Esser","Town & Country Electric Inc.","56 Pricewater","Waltham","MA","2453","hazel@bentley.net","12/15/1962","JA|RB","127.00","127.00","271.75"
"01-010852","Robert A Jacoby","Saturn of Baton Rouge","4001 Lafayette","Baton Rouge","LA","70803-4918","din33@norl.com","12/22/1985","ED|EA|RB|KA","142.00","150.00","423.01"
"01-011625","James C Felli","Bemiss Corp.","23A Carolina Park Circle","Spartanburg","SC","29303-9398","cadair@gw.com","02/21/1940","SB","151.00","155.00","515.41"
"01-018448","Alan W Neebe","Georgia State Credit Union","PO Box 159","Demorest","GA","30535-1177","delores@truett.com","01/31/1960","MA|ED|SB","113.00","120.00","131.89"
"01-018595","Alexander Gose","Office Support Services","436 Green Mountain Circle","New Paltz","NY","12561-0023","dams@matrix.net","06/19/1940","EC","147.00","147.00","477.09"
"01-022917","Richard Klein","Rockville Dental Associates","3356 Montgomery St","Rockville","MD","20850-2080","","02/23/1978","FA","103.00","100.00","32.31"
"01-024141","Bill Robinson","Kurz Electric","1570 E Colorado Boulevard","Pasadena","CA","91106-    ","aragon@paccd.net","08/12/1951","RA|MA","103.00","103.00","39.72"
"01-030864","Michael J Watson","Alpha 1 Corp.","105 Garfield Ave","Eau Claire","WI","54702-4800","mary2@aol.com","02/22/1982","RB","103.00","103.00","34.21"
"01-032845","Russell Edward King","Valley Trust Corporation","2325 Chester Boulevard","Richmond","IN","47374-9345","mary2@sumner.org","02/29/1974","CB","123.00","119.19","239.18"
"01-035788","James A. Rappold","Mountain States Credit Union","2325 E Piazza Place","Grand Junction","CO","81506-3493","classicwood@earthlink.net","12/07/1969","AC","107.00","99.98","75.09"
"01-035792","Samuel B. Johnson","Virginia Sales Corporation","4567 Little Rock Ave","Fairfax","VA","22031-3445","sjohnson@earthlink.net","11/07/1969","AC","107.00","0.00","0.00"
"01-037868","Sonia E Leach","Fox River Lawn Care","2400 W Bradley Ave","Champaign","IL","61821","ordin@parkland.net","12/15/1968","SA","171.00","175.00","710.81"
"01-041067","Nolan J Taylor","Okeechobee Health Plan","8969 SW 44th Dr","Gainesville","FL","32608-3349","manone@hotmail.com","09/26/1971","CC","126.00","100.00","267.74"
"01-041947","Harald M Fischer","Schaumburg Toyota","1642 E 56TH Street, #607","Chicago","IL","60637-8869","chu@finmath.com","05/05/1954","LA","160.00","400.00","607.09"
